DATE,TRK,GRD,DIST,POINTS (LEADERS),RACE (CHART),REPLAY,WINNER,BSF,TFUS,TIME,MRGN,ODDS,JOCKEY,TRAINER,SIRE,BR-SIRE,PLACED,,,
4/7/18,AQU,G2,9,100-40-20-10 (PDF),Wood Memorial (PDF),Video,Vino Rosso,98,121,01:49.8,3,4.2,John Velazquez,Todd Pletcher,Curlin,Street Cry (IRE),"Enticed, Restoring Hope, Firenze Fire",,,
4/7/18,KEE,G2,9,100-40-20-10 (PDF),Blue Grass Stakes (PDF),Video,Good Magic,95,122,01:50.2,1 1/2,1.60**,Jose Ortiz,Chad Brown,Curlin,Hard Spun,"Flameaway, Free Drop Billy, Sporting Chance (DQ'd from 3rd)",,,
4/7/18,SA,G1,9,100-40-20-10 (PDF),Santa Anita Derby (PDF),Video,Justify,107,132,01:49.7,3,0.90**,Mike Smith,Bob Baffert,Scat Daddy,Ghostzapper,"Bolt d'Oro, Core Beliefs, Instilled Regard",,,
4/14/18,OP,G1,9,100-40-20-10 (PDF),Arkansas Derby (PDF),Video,Magnum Moon,98,116,01:49.9,4,0.80**,Luis Saez,Todd Pletcher,Malibu Moon,Unbridled's Song,"Quip, Solomini, Combatant",,,
4/14/18,KEE,G3,8.5,20-8-4-2 (PDF),Lexington Stakes (PDF),Video,My Boy Jack,90,117,01:44.2,Head,1.50**,Kent Desormeaux,Keith Desormeaux,Creative Cause,Mineshaft,"Telekinesis, Pony Up, Greyvitos",,,
1/1/19,AQU,---,8,10-4-2-1 (PDF),Jerome Stakes (PDF),Video,Mind Control,88,107,01:39.1,1 1/2,1.50**,John Velazquez,Gregory Sacco,Stay Thirsty,Lightnin N Thunder,"Our Braintrust, Family Biz, Gates of Dawn",,,
1/5/19,SA,G3,8,10-4-2-1 (PDF),Sham Stakes (PDF),Video,Gunmetal Gray,82,101,01:39.0,1,3.7,Mike Smith,Jerry Hollendorfer,Exchange Rate,Include,"Sueno, Much Better, Gray Magician",,,
1/19/19,FG,G3,8*,10-4-2-1 (PDF),Lecomte Stakes (PDF),Video,War of Will,94,110,01:43.4,4,1.60**,Tyler Gaffalione,Mark Casse,War Front,Sadler's Wells,"Hog Creek Hustle, Manny Wah, Wicked Indeed",,,
1/25/19,OP,---,8,10-4-2-1 (PDF),Smarty Jones Stakes (PDF),Video,Gray Attempt,84,110,01:36.9,Neck,2.2,Shaun Bridgmohan,William Fires,Graydar,Consolidator,"Long Range Teddy, Boldor, Six Shooter",,,
2/2/19,AQU,G3,9,10-4-2-1 (PDF),Withers Stakes (PDF),Video,Tax,96,118,01:50.2,Head,2.10**,Junior Alvarado,Danny Gargan,Arch,Giant's Causeway,"Not That Brady, Our Braintrust, Sir Winston",,,
2/2/19,GP,G3,8.5,10-4-2-1 (PDF),Holy Bull Stakes (PDF),Video,Harvey Wallbanger,85,106,01:43.7,1,29.6,Brian Hernandez,Kenny McPeek,Congrats,Distorted Humor,"Everfast, Maximus Mischief, Epic Dreamer",,,
2/2/19,SA,G3,8.5,10-4-2-1 (PDF),Robert B. Lewis (PDF),Video,Mucho Gusto,90,111,01:41.8,4 3/4,0.60**,Joe Talamo,Bob Baffert,Mucho Macho Man,Giant's Causeway,"Gunmetal Gray, Easy Shot, Magnificent McCool",,,
2/9/19,TAM,G3,8.5,10-4-2-1 (PDF),Sam F. Davis (PDF),Video,Well Defined,93,114,01:42.7,2 3/4,7,Pablo Morales,Kathleen O'Connell,With Distinction,Medaglia d'Oro,"Kentucky Wildcat, So Alive, Counter Offer",,,
2/16/19,GG,---,9,10-4-2-1 (PDF),El Camino Real (PDF),Video,Anothertwistafate,94,111,01:50.4,7,1.20**,Juan Hernandez,Blaine Wright,Scat Daddy,First Defence,"Kingly, More Ice, Angelo's Pride",,,
2/16/19,FG,G2,8.5,50-20-10-5 (PDF),Risen Star Stakes (PDF),Video,War of Will,92,110,01:44.6,2 1/4,1.00**,Tyler Gaffalione,Mark Casse,War Front,Sadler's Wells,"Country House, Roiland, Hog Creek Hustle",,,
2/18/19,OP,G3,8,10-4-2-1 (PDF),Southwest Stakes (PDF),Video,Super Steed,87,112,01:44.1,4-Mar,62.3,Terry Thompson,Larry Jones,Super Saver,Elusive Quality,"Sueno, Long Range Toddy, Six Shooter",,,
3/2/19,GP,G2,8.5,50-20-10-5 (PDF),Fountain of Youth (PDF),Video,Code of Honor,95,118,01:43.9,4-Mar,9.5,John Velazquez,Shug McGaughey,Noble Mission,Dixie Union,"Bourbon War, Vekoma, Hidden Scroll",,,
3/9/19,AQU,G3,8,50-20-10-5 (PDF),Gotham Stakes (PDF),Video,Haikal,95,118,01:35.6,1,4.4,Rajiv Maragh,Kiaran McLaughlin,Daaher,Distorted Humor,"Mind Control, Instagrand, Much Better",,,
3/9/19,TAM,G2,8.5,50-20-10-5 (PDF),Tampa Bay Derby (PDF),Video,Tacitus,93,117,01:41.9,1 1/4,8.9,Jose Ortiz,William Mott,Tapit,First Defence,"Outshine, Win Win Win, Zenden",,,
3/9/19,TP,G3,9,20-8-4-2 (PDF),Spiral Stakes [Jeff Ruby] (PDF),Video,Somelikeithotbrown,83,108,01:52.1,3 1/4,0.60**,Tyler Gaffalione,Michael Maker,Big Brown,Tapit,"Dynamic Racer, Moonster, Five Star General",,,
CANCELED,SA,G2,8.5,50-20-10-5,San Felipe Stakes,,,,,,,,,,,,,,,
3/16/19,OP,G2,8.5,37.5-15-7.5-3.75 (PDF),Rebel Stakes [Division 1] (PDF),Video,Long Range Toddy,95,117,01:42.5,Neck,8.4,Jon Court,Steve Asmussen,Take Charge Indy,Unbridled's Song,"Improbable, Galilean, Extra Hope",,,
3/16/19,OP,G2,8.5,37.5-15-7.5-3.75 (PDF),Rebel Stakes [Division 2] (PDF),Video,Omaha Beach,96,119,01:42.4,Nose,4.4,Mike Smith,Richard Mandella,War Front,Seeking the Gold,"Game Winner, Market King, Gunmetal Gray",,,
3/23/19,FG,G2,9,100-40-20-10 (PDF),Louisiana Derby (PDF),Video,By My Standards,97,117,01:49.5,4-Mar,22.5,Gabriel Saez,Bret Calhoun,Goldencents,Muqtarib,"Spinoff, Sueno, Country House",,,
3/24/19,SUN,G3,9,50-20-10-5 (PDF),Sunland Derby (PDF),Video,Cutting Humor,95,112,01:46.9,Neck,2.3,John Velazquez,Todd Pletcher,First Samurai,Pulpit,"Anothertwistafate, Mucho Gusto, Wicked Indeed",,,
3/30/19,MEY,G2,9.5,100-40-20-10 (PDF),UAE Derby (PDF),Video,Plus Que Parfait,---,---,01:58.4,4-Mar,---,Jose Ortiz,Brendan Walsh,Point of Entry,Awesome Again,"Gray Magician, Manguzi, Derma Louvre",,,
3/30/19,GP,G1,9,100-40-20-10 (PDF),Florida Derby (PDF),Video,Maximum Security,101,116,01:48.9,3 1/2,4.8,Luis Saez,Jason Servis,New Year's Day,Anasheed,"Bodexpress, Code of Honor, Bourbon War",,,
4/6/19,AQU,G2,9,100-40-20-10 (PDF),Wood Memorial (PDF),Video,Tacitus,97,120,01:51.2,1 1/4,2.60**,Jose Ortiz,William Mott,Tapit,First Defence,"Tax, Haikal, Math Wizard",,,
4/6/19,KEE,G2,9,100-40-20-10 (PDF),Blue Grass Stakes (PDF),Video,Vekoma,94,119,01:50.9,3 1/2,1.40**,Javier Castellano,George Weaver,Candy Ride (ARG),Speightstown,"Win Win Win, Signalman, Somelikeithotbrown",,,
4/6/19,SA,G1,9,100-40-20-10 (PDF),Santa Anita Derby (PDF),Video,Roadster,98,113,01:51.3,2-Jan,3.1,Mike Smith,Bob Baffert,Quality Road,Silver Ghost,"Game Winner, Instagrand, Nolo Contesto",,,
4/13/19,OP,G1,9,100-40-20-10 (PDF),Arkansas Derby (PDF),Video,Omaha Beach,101,121,01:49.9,1,1.70**,Mike Smith,Richard Mandella,War Front,Seeking the Gold,"Improbable, Country House, Laughing Fox",,,
4/13/19,KEE,G3,8.5,20-8-4-2 (PDF),Lexington Stakes (PDF),Video,Owendale,98,120,01:44.1,1 3/4,12.7,Florent Geroux,Brad Cox,Into Mischief,Bernardini,"Anothertwistafate, Sueno, Knicks Go",,,
